Incident Number,Neighborhood,Occur Month,Occur Year,Occurence Date,Person Injury,Precinct,Open Data Latitude,Open Data Longitude,X,Y
19-0005,Montavilla,1,2019,1/5/2019,False,East,0,0,,
19-0006,Piedmont,1,2019,1/5/2019,False,North,0,0,,
19-0009,Portsmouth,1,2019,1/9/2019,False,North,0,0,,
19-0012,Boise,1,2019,1/12/2019,False,North,0,0,,
19-0013,Sullivan's Gulch,1,2019,1/13/2019,True,North,0,0,,
19-0016,Centennial,1,2019,1/15/2019,True,East,0,0,,
19-0022,Portsmouth,1,2019,1/23/2019,False,North,0,0,,
19-0026,Montavilla,1,2019,1/25/2019,False,East,0,0,,
19-0030,Montavilla,1,2019,1/29/2019,False,East,0,0,,
19-0034,Powellhurst-Gilbert,2,2019,2/3/2019,True,East,0,0,,
19-0041,Lents,2,2019,2/7/2019,False,East,0,0,,
19-0044,Buckman East,2,2019,2/14/2019,False,Central,0,0,,
19-0047,Cully,2,2019,2/15/2019,True,North,0,0,,
19-0054,Mill Park,2,2019,2/18/2019,True,East,0,0,,
19-0056,Sabin,2,2019,2/18/2019,False,North,0,0,,
19-0057,Argay,2,2019,2/18/2019,False,North,0,0,,
19-0063,Lents,2,2019,2/25/2019,False,East,0,0,,
19-0064,Rose City Park,2,2019,2/26/2019,False,North,0,0,,
19-0066,Portsmouth,3,2019,3/1/2019,False,North,0,0,,
19-0067,Portsmouth,3,2019,3/1/2019,False,North,0,0,,
19-0070,Cully,3,2019,3/10/2019,False,North,0,0,,
19-0075,Foster-Powell,3,2019,3/13/2019,False,East,0,0,,
19-0077,Mt Scott-Arleta,3,2019,3/14/2019,False,East,0,0,,
19-0081,Powellhurst-Gilbert,3,2019,3/17/2019,False,East,0,0,,
19-0083,Centennial,3,2019,3/21/2019,True,East,0,0,,
19-0084,Parkrose,3,2019,3/21/2019,False,North,0,0,,
19-0091,Parkrose Heights,3,2019,3/25/2019,True,East,0,0,,
19-0092,King,3,2019,3/28/2019,False,North,0,0,,
19-0096,Eliot,3,2019,3/30/2019,False,North,0,0,,
19-0097,NONE,3,2019,3/30/2019,True,North,0,0,,
19-0110,Old Town/Chinatown,4,2019,4/19/2019,True,Central,0,0,,
19-0112,Hazelwood,4,2019,4/23/2019,True,East,0,0,,
19-0113,Hazelwood,4,2019,4/24/2019,False,East,0,0,,
19-0114,Lents,4,2019,4/24/2019,True,East,0,0,,
19-0115,Lents,4,2019,4/24/2019,True,East,0,0,,
19-0122,Cully,4,2019,4/28/2019,False,North,0,0,,
19-0124,Kerns,4,2019,4/28/2019,False,Central,0,0,,
19-0127,Portsmouth,5,2019,5/1/2019,False,North,0,0,,
19-0128,Piedmont,5,2019,5/2/2019,False,North,0,0,,
19-0129,Lents,5,2019,5/2/2019,False,East,0,0,,
19-0138,Lents,5,2019,5/9/2019,True,East,0,0,,
19-0140,Hazelwood,5,2019,5/10/2019,False,East,0,0,,
19-0141,Argay,5,2019,5/11/2019,False,North,0,0,,
19-0145,NONE,5,2019,5/15/2019,False,East,0,0,,
19-0147,Parkrose,5,2019,5/17/2019,False,North,0,0,,
19-0148,Grant Park,5,2019,5/18/2019,False,North,0,0,,
19-0150,Buckman West,5,2019,5/19/2019,True,Central,0,0,,
19-0153,Kenton,5,2019,5/21/2019,False,North,0,0,,
19-0154,Irvington,5,2019,5/21/2019,False,North,0,0,,
19-0156,South Portland,5,2019,5/23/2019,False,Central,0,0,,
19-0157,Lloyd,5,2019,5/24/2019,False,North,0,0,,
19-0159,Centennial,5,2019,5/25/2019,True,East,0,0,,
19-0167,Overlook,6,2019,6/1/2019,True,North,0,0,,
19-0168,Centennial,6,2019,6/1/2019,False,East,0,0,,
19-0176,Centennial,6,2019,6/10/2019,False,East,0,0,,
19-0177,Creston-Kenilworth,6,2019,6/11/2019,False,East,0,0,,
19-0179,NONE,6,2019,6/12/2019,True,North,0,0,,
19-0182,Centennial,6,2019,6/14/2019,True,East,0,0,,
19-0184,Sullivan's Gulch,6,2019,6/16/2019,False,North,0,0,,
19-0189,South Tabor,6,2019,6/19/2019,False,East,0,0,,
19-0190,Sumner,6,2019,6/19/2019,True,North,0,0,,
19-0191,Cully,6,2019,6/19/2019,False,North,0,0,,
19-0198,Lents,6,2019,6/29/2019,False,East,0,0,,
19-0201,Portsmouth,7,2019,7/1/2019,False,North,0,0,,
19-0207,NONE,7,2019,7/8/2019,True,East,0,0,,
19-0219,Cully,7,2019,7/17/2019,False,North,0,0,,
19-0220,Sylvan-Highlands,7,2019,7/17/2019,False,Central,0,0,,
19-0225,Cully,7,2019,7/24/2019,False,North,0,0,,
19-0226,NONE,7,2019,7/25/2019,False,East,0,0,,
19-0237,Eliot,7,2019,7/28/2019,True,North,0,0,,
19-0240,Concordia,8,2019,8/2/2019,True,North,0,0,,
19-0254,Madison South,8,2019,8/10/2019,False,East,0,0,,
19-0256,Woodland Park,8,2019,8/12/2019,True,East,0,0,,
19-0271,King,8,2019,8/25/2019,True,North,0,0,,
19-0281,NONE,9,2019,9/1/2019,True,North,0,0,,
19-0284,King,9,2019,9/1/2019,False,North,0,0,,
19-0285,Montavilla,9,2019,9/2/2019,True,East,0,0,,
19-0286,St Johns,9,2019,9/3/2019,True,North,0,0,,
19-0289,Centennial,8,2019,8/30/2019,True,East,0,0,,
19-0297,St Johns,9,2019,9/12/2019,False,North,0,0,,
19-0303,Centennial,9,2019,9/15/2019,False,East,0,0,,
19-0309,Cully,9,2019,9/21/2019,False,North,0,0,,
19-0312,Mill Park,9,2019,9/22/2019,False,East,0,0,,
19-0314,Centennial,9,2019,9/23/2019,False,East,0,0,,
19-0318,Montavilla,9,2019,9/29/2019,False,East,0,0,,
19-0328,St Johns,10,2019,10/9/2019,False,North,0,0,,
19-0329,Lents,10,2019,10/10/2019,False,East,0,0,,
19-0331,Kerns,10,2019,10/12/2019,False,Central,0,0,,
19-0332,St Johns,10,2019,10/14/2019,True,North,0,0,,
19-0334,Montavilla,10,2019,10/16/2019,False,East,0,0,,
19-0344,Parkrose,10,2019,10/26/2019,True,North,0,0,,
19-0354,Irvington,11,2019,11/2/2019,True,North,0,0,,
19-0377,Eliot,11,2019,11/21/2019,True,North,0,0,,
19-0378,NONE,11,2019,11/21/2019,True,East,0,0,,
19-0381,Powellhurst-Gilbert,11,2019,11/24/2019,False,East,0,0,,
19-0386,Sumner,11,2019,11/30/2019,False,North,0,0,,
19-0393,Cully,1,2019,1/17/2019,True,North,0,0,,
19-0399,Boise,12,2019,12/11/2019,True,North,0,0,,
19-0406,Powellhurst-Gilbert,12,2019,12/15/2019,True,East,0,0,,
19-0408,Madison South,12,2019,12/15/2019,True,East,0,0,,
19-0419,Powellhurst-Gilbert,12,2019,12/26/2019,True,East,0,0,,
19-0422,Mill Park,12,2019,12/28/2019,True,East,0,0,,
19-0425,Pearl,12,2019,12/30/2019,True,Central,0,0,,
19-0427,Piedmont,3,2019,3/14/2019,False,North,0,0,,
19-0428,Hazelwood,2,2019,2/22/2019,True,East,0,0,,
19-0429,Lents,5,2019,5/24/2019,True,East,0,0,,
20-0001,South Portland,1,2020,1/1/2020,False,Central,0,0,,
20-0003,NONE,1,2020,1/1/2020,True,Central,0,0,,
20-0006,Wilkes,1,2020,1/1/2020,True,North,0,0,,
20-0012,University Park,1,2020,1/4/2020,False,North,0,0,,
20-0013,Centennial,1,2020,1/4/2020,True,East,0,0,,
20-0030,Cully,1,2020,1/16/2020,True,North,0,0,,
20-0035,Kenton,1,2020,1/19/2020,False,North,0,0,,
20-0045,Hazelwood,1,2020,1/25/2020,False,East,0,0,,
20-0057,Irvington,2,2020,2/2/2020,True,North,0,0,,
20-0061,Mt Scott-Arleta,2,2020,2/3/2020,False,East,0,0,,
20-0087,Parkrose Heights,2,2020,2/20/2020,False,East,0,0,,
20-0094,NONE,2,2020,2/29/2020,True,East,0,0,,
20-0100,NONE,3,2020,3/7/2020,True,North,0,0,,
20-0110,NONE,3,2020,3/18/2020,False,North,0,0,,
20-0118,South Tabor,3,2020,3/30/2020,True,East,0,0,,
20-0157,Wilkes,4,2020,4/21/2020,False,North,0,0,,
20-0162,NONE,4,2020,4/22/2020,False,East,0,0,,
20-0168,Madison South,4,2020,4/28/2020,False,East,0,0,,
20-0175,Argay,5,2020,5/4/2020,True,North,0,0,,
20-0176,Lloyd,4,2020,4/13/2020,False,North,0,0,,
20-0194,Glenfair,5,2020,5/15/2020,False,East,0,0,,
20-0205,Powellhurst-Gilbert,5,2020,5/24/2020,True,East,0,0,,
20-0222,NONE,6,2020,6/3/2020,True,North,0,0,,
20-0229,NONE,6,2020,6/5/2020,False,East,0,0,,
20-0230,Lents,6,2020,6/6/2020,False,East,0,0,,
20-0240,Powellhurst-Gilbert,6,2020,6/13/2020,False,East,0,0,,
20-0261,NONE,6,2020,6/11/2020,True,East,0,0,,
20-0262,Cully,6,2020,6/18/2020,True,North,0,0,,
20-0269,Pleasant Valley,6,2020,6/21/2020,True,East,0,0,,
20-0282,NONE,7,2020,7/2/2020,False,Central,0,0,,
20-0289,St Johns,7,2020,7/5/2020,False,North,0,0,,
20-0306,NONE,7,2020,7/7/2020,True,North,0,0,,
20-0307,Powellhurst-Gilbert,7,2020,7/8/2020,False,East,0,0,,
20-0309,Multnomah,7,2020,7/9/2020,True,Central,0,0,,
20-0310,Lents,7,2020,7/10/2020,True,East,0,0,,
20-0311,Powellhurst-Gilbert,7,2020,7/10/2020,True,East,0,0,,
20-0313,Lents,7,2020,7/11/2020,False,East,0,0,,
20-0314,NONE,7,2020,7/11/2020,False,East,0,0,,
20-0318,NONE,6,2020,6/24/2020,False,North,0,0,,
20-0333,Russell,7,2020,7/17/2020,True,East,0,0,,
20-0342,Cully,7,2020,7/23/2020,False,North,0,0,,
20-0345,Centennial,7,2020,7/25/2020,True,East,0,0,,
20-0351,Downtown,7,2020,7/26/2020,True,Central,0,0,,
20-0352,St Johns,7,2020,7/26/2020,True,North,0,0,,
20-0354,Montavilla,7,2020,7/27/2020,True,East,0,0,,
20-0358,Woodlawn,7,2020,7/28/2020,True,North,0,0,,
20-0368,Montavilla,7,2020,7/31/2020,True,East,0,0,,
20-0400,Bridgeton,8,2020,8/7/2020,True,North,0,0,,
20-0411,NONE,8,2020,8/9/2020,True,Outside Jurisdiction,0,0,,
20-0413,NONE,8,2020,8/6/2020,False,East,0,0,,
20-0414,NONE,8,2020,8/6/2020,False,East,0,0,,
20-0418,Lents,8,2020,8/12/2020,False,East,0,0,,
20-0420,Parkrose,8,2020,8/12/2020,True,North,0,0,,
20-0425,St Johns,8,2020,8/14/2020,False,North,0,0,,
20-0447,Portsmouth,8,2020,8/17/2020,True,North,0,0,,
20-0448,Centennial,8,2020,8/19/2020,True,East,0,0,,
20-0450,Mt Scott-Arleta,8,2020,8/21/2020,True,East,0,0,,
20-0460,Sumner,8,2020,8/20/2020,True,East,0,0,,
20-0463,Hazelwood,8,2020,8/22/2020,True,East,0,0,,
20-0474,NONE,8,2020,8/20/2020,False,East,0,0,,
20-0480,Hazelwood,8,2020,8/27/2020,True,East,0,0,,
20-0482,NONE,8,2020,8/29/2020,False,North,0,0,,
20-0493,NONE,8,2020,8/30/2020,False,East,0,0,,
20-0499,NONE,9,2020,9/1/2020,False,East,0,0,,
20-0501,NONE,8,2020,8/28/2020,True,East,0,0,,
20-0504,Downtown,8,2020,8/29/2020,True,Central,0,0,,
20-0513,Powellhurst-Gilbert,9,2020,9/4/2020,False,East,0,0,,
20-0516,NONE,9,2020,9/5/2020,False,North,0,0,,
20-0517,Mt Scott-Arleta,9,2020,9/5/2020,False,East,0,0,,
20-0521,Concordia,9,2020,9/6/2020,False,North,0,0,,
20-0523,Lents,9,2020,9/7/2020,False,East,0,0,,
20-0538,NONE,9,2020,9/1/2020,False,North,0,0,,
20-0554,King,9,2020,9/13/2020,False,North,0,0,,
20-0562,NONE,9,2020,9/15/2020,False,Central,0,0,,
20-0563,Cully,9,2020,9/9/2020,True,North,0,0,,
20-0564,Hazelwood,9,2020,9/11/2020,True,East,0,0,,
20-0581,NONE,8,2020,8/29/2020,False,North,0,0,,
20-0611,Kenton,9,2020,9/29/2020,True,North,0,0,,
20-0620,NONE,9,2020,9/30/2020,True,Central,0,0,,
20-0622,Parkrose,10,2020,10/1/2020,True,North,0,0,,
20-0626,NONE,9,2020,9/9/2020,False,East,0,0,,
20-0636,Downtown,10,2020,10/6/2020,True,Central,0,0,,
20-0641,Parkrose,10,2020,10/1/2020,True,North,0,0,,
20-0657,Hosford-Abernethy,10,2020,10/11/2020,False,Central,0,0,,
20-0664,Lents,10,2020,10/15/2020,True,East,0,0,,
20-0678,Centennial,10,2020,10/18/2020,False,East,0,0,,
20-0700,Wilkes,10,2020,10/23/2020,True,East,0,0,,
20-0705,Richmond,10,2020,10/24/2020,True,East,0,0,,
20-0710,Madison South,10,2020,10/26/2020,True,East,0,0,,
20-0711,Foster-Powell,10,2020,10/27/2020,False,East,0,0,,
20-0721,NONE,11,2020,11/1/2020,True,North,0,0,,
20-0722,Hazelwood,11,2020,11/1/2020,False,East,0,0,,
20-0739,NONE,11,2020,11/7/2020,True,Central,0,0,,
20-0754,Richmond,11,2020,11/7/2020,True,Central,0,0,,
20-0762,NONE,11,2020,11/13/2020,True,North,0,0,,
20-0767,Portsmouth,11,2020,11/18/2020,False,North,0,0,,
20-0769,Centennial,11,2020,11/18/2020,False,East,0,0,,
20-0780,Glenfair,11,2020,11/22/2020,False,East,0,0,,
20-0787,Sullivan's Gulch,11,2020,11/23/2020,True,North,0,0,,
20-0792,Hazelwood,11,2020,11/23/2020,True,East,0,0,,
20-0803,King,11,2020,11/29/2020,False,North,0,0,,
20-0805,Pleasant Valley,11,2020,11/29/2020,True,East,0,0,,
20-0809,NONE,11,2020,11/30/2020,True,East,0,0,,
20-0812,Old Town/Chinatown,11,2020,11/27/2020,True,Central,0,0,,
20-0826,St Johns,12,2020,12/2/2020,True,North,0,0,,
20-0832,NONE,12,2020,12/4/2020,True,East,0,0,,
20-0844,Cully,12,2020,12/7/2020,False,North,0,0,,
20-0857,Woodlawn,12,2020,12/12/2020,True,North,0,0,,
20-0866,Powellhurst-Gilbert,12,2020,12/14/2020,True,East,0,0,,
20-0867,Kenton,12,2020,12/14/2020,True,North,0,0,,
20-0869,Cully,12,2020,12/15/2020,True,North,0,0,,
20-0900,Lloyd,12,2020,12/25/2020,True,North,0,0,,
20-0904,Montavilla,12,2020,12/26/2020,True,East,0,0,,
20-0909,NONE,12,2020,12/27/2020,True,East,0,0,,
20-0924,Woodlawn,12,2020,12/31/2020,True,North,0,0,,
20-0928,Madison South,12,2020,12/26/2020,False,East,0,0,,
20-0930,Eliot,12,2020,12/17/2020,True,North,0,0,,
20-0932,Argay,12,2020,12/24/2020,False,North,0,0,,
20-0934,NONE,8,2020,8/28/2020,True,North,0,0,,
21-0011,Argay,1,2021,1/2/2021,True,North,0,0,,
21-0014,NONE,1,2021,1/1/2021,False,East,0,0,,
21-0036,NONE,1,2021,1/12/2021,True,East,0,0,,
21-0040,Parkrose,1,2021,1/12/2021,True,North,0,0,,
21-0049,Powellhurst-Gilbert,1,2021,1/15/2021,False,East,0,0,,
21-0058,Centennial,1,2021,1/17/2021,True,East,0,0,,
21-0060,NONE,1,2021,1/19/2021,False,East,0,0,,
21-0062,Powellhurst-Gilbert,1,2021,1/17/2021,True,East,0,0,,
21-0069,NONE,1,2021,1/23/2021,True,North,0,0,,
21-0080,Lents,1,2021,1/26/2021,False,East,0,0,,
21-0090,St Johns,1,2021,1/28/2021,True,North,0,0,,
21-0092,Madison South,1,2021,1/27/2021,False,East,0,0,,
21-0096,Kenton,1,2021,1/31/2021,False,North,0,0,,
21-0097,Portsmouth,1,2021,1/31/2021,False,North,0,0,,
21-0121,Hazelwood,2,2021,2/4/2021,False,East,0,0,,
21-0123,Montavilla,2,2021,2/8/2021,False,East,0,0,,
21-0134,NONE,2,2021,2/13/2021,True,North,0,0,,
21-0139,Portsmouth,2,2021,2/12/2021,True,North,0,0,,
21-0143,Humboldt,2,2021,2/16/2021,False,North,0,0,,
21-0153,Rose City Park,2,2021,2/20/2021,True,North,0,0,,
21-0163,Brentwood-Darlington,2,2021,2/26/2021,False,East,0,0,,
21-0164,Madison South,2,2021,2/25/2021,True,East,0,0,,
21-0165,Piedmont,2,2021,2/25/2021,True,North,0,0,,
21-0171,Piedmont,2,2021,2/27/2021,False,North,0,0,,
21-0177,Centennial,2,2021,2/28/2021,False,East,0,0,,
21-0179,Sellwood-Moreland,2,2021,2/27/2021,True,Central,0,0,,
21-0186,Cully,3,2021,3/1/2021,True,North,0,0,,
21-0198,St Johns,3,2021,3/4/2021,True,North,0,0,,
21-0207,Powellhurst-Gilbert,3,2021,3/8/2021,False,East,0,0,,
21-0213,Eliot,3,2021,3/9/2021,True,North,0,0,,
21-0231,NONE,3,2021,3/17/2021,False,East,0,0,,
21-0233,Russell,3,2021,3/17/2021,True,East,0,0,,
21-0235,Richmond,3,2021,3/3/2021,False,Central,0,0,,
21-0237,NONE,3,2021,3/19/2021,False,East,0,0,,
21-0243,NONE,3,2021,3/21/2021,True,North,0,0,,
21-0245,NONE,3,2021,3/20/2021,False,East,0,0,,
21-0248,NONE,3,2021,3/23/2021,False,North,0,0,,
21-0254,Powellhurst-Gilbert,3,2021,3/26/2021,True,East,0,0,,
21-0256,NONE,3,2021,3/26/2021,False,East,0,0,,
21-0260,NONE,3,2021,3/26/2021,False,East,0,0,,
21-0272,South Portland,3,2021,3/28/2021,True,Central,0,0,,
21-0274,Kenton,3,2021,3/31/2021,True,North,0,0,,
21-0275,NONE,3,2021,3/25/2021,False,East,0,0,,
19-0358,Arnold Creek,11,2019,11/4/2019,False,Central,45.435117481,-122.697409949,"7,638,107","652,401"
21-0022,Ashcreek,1,2021,1/5/2021,False,Central,45.443489967,-122.742721147,"7,626,565","655,772"
20-0060,Ashcreek,2,2020,2/3/2020,False,Central,45.443941175,-122.740973245,"7,627,018","655,924"
19-0306,Ashcreek,9,2019,9/18/2019,False,Central,45.445075991,-122.740608697,"7,627,123","656,335"
