ZIP,Cases,"Rate per 100,000",Date
98601,173,"5,582.80",6/2/21
98604,"1,802","4,607.20",6/2/21
98606,436,"4,406.00",6/2/21
98607,"1,295","3,907.40",6/2/21
98629,394,"4,143.20",6/2/21
98642,978,"4,431.50",6/2/21
98660,559,"4,221.50",6/2/21
98661,"2,687","5,736.10",6/2/21
98662,"2,083","5,948.10",6/2/21
98663,652,"4,199.40",6/2/21
98664,"1,216","5,125.00",6/2/21
98665,"1,464","5,472.60",6/2/21
98671,957,"4,478.60",6/2/21
98674,104,"3,643.00",6/2/21
98675,548,"7,094.30",6/2/21
98682,"3,592","5,581.20",6/2/21
98683,"1,426","4,237.20",6/2/21
98684,"1,722","5,766.20",6/2/21
98685,"1,089","3,661.90",6/2/21
98686,986,"4,695.20",6/2/21
89421,NA,NA,5/26/21
97001,NA,NA,5/26/21
97011,NA,NA,5/26/21
97020,NA,NA,5/26/21
97028,NA,NA,5/26/21
97029,NA,NA,5/26/21
97033,NA,NA,5/26/21
97037,NA,NA,5/26/21
97039,NA,NA,5/26/21
97050,NA,NA,5/26/21
97057,NA,NA,5/26/21
97065,NA,NA,5/26/21
97102,NA,NA,5/26/21
97108,NA,NA,5/26/21
97109,NA,NA,5/26/21
97117,NA,NA,5/26/21
97118,NA,NA,5/26/21
97122,NA,NA,5/26/21
97125,NA,NA,5/26/21
97130,NA,NA,5/26/21
97134,NA,NA,5/26/21
97135,NA,NA,5/26/21
97144,NA,NA,5/26/21
97145,NA,NA,5/26/21
97147,NA,NA,5/26/21
97149,NA,NA,5/26/21
97208,NA,NA,5/26/21
97257,NA,NA,5/26/21
97282,NA,NA,5/26/21
97292,NA,NA,5/26/21
97307,NA,NA,5/26/21
97310,NA,NA,5/26/21
97326,NA,NA,5/26/21
97329,NA,NA,5/26/21
97342,NA,NA,5/26/21
97343,NA,NA,5/26/21
97345,NA,NA,5/26/21
97346,NA,NA,5/26/21
97350,NA,NA,5/26/21
97357,NA,NA,5/26/21
97364,NA,NA,5/26/21
97369,NA,NA,5/26/21
97371,NA,NA,5/26/21
97373,NA,NA,5/26/21
97377,NA,NA,5/26/21
97384,NA,NA,5/26/21
97388,NA,NA,5/26/21
97390,NA,NA,5/26/21
97406,NA,NA,5/26/21
97410,NA,NA,5/26/21
97412,NA,NA,5/26/21
97413,NA,NA,5/26/21
97414,NA,NA,5/26/21
97416,NA,NA,5/26/21
97429,NA,NA,5/26/21
97430,NA,NA,5/26/21
97434,NA,NA,5/26/21
97436,NA,NA,5/26/21
97441,NA,NA,5/26/21
97447,NA,NA,5/26/21
97450,NA,NA,5/26/21
97451,NA,NA,5/26/21
97453,NA,NA,5/26/21
97461,NA,NA,5/26/21
97466,NA,NA,5/26/21
97473,NA,NA,5/26/21
97476,NA,NA,5/26/21
97480,NA,NA,5/26/21
97481,NA,NA,5/26/21
97484,NA,NA,5/26/21
97486,NA,NA,5/26/21
97489,NA,NA,5/26/21
97490,NA,NA,5/26/21
97492,NA,NA,5/26/21
97493,NA,NA,5/26/21
97494,NA,NA,5/26/21
97522,NA,NA,5/26/21
97528,NA,NA,5/26/21
97531,NA,NA,5/26/21
97534,NA,NA,5/26/21
97536,NA,NA,5/26/21
97543,NA,NA,5/26/21
97604,NA,NA,5/26/21
97620,NA,NA,5/26/21
97621,NA,NA,5/26/21
97622,NA,NA,5/26/21
97625,NA,NA,5/26/21
97626,NA,NA,5/26/21
97627,NA,NA,5/26/21
97634,NA,NA,5/26/21
97635,NA,NA,5/26/21
97636,NA,NA,5/26/21
97637,NA,NA,5/26/21
97638,NA,NA,5/26/21
97639,NA,NA,5/26/21
97640,NA,NA,5/26/21
97710,NA,NA,5/26/21
97711,NA,NA,5/26/21
97712,NA,NA,5/26/21
97721,NA,NA,5/26/21
97722,NA,NA,5/26/21
97730,NA,NA,5/26/21
97731,NA,NA,5/26/21
97732,NA,NA,5/26/21
97733,NA,NA,5/26/21
97735,NA,NA,5/26/21
97736,NA,NA,5/26/21
97737,NA,NA,5/26/21
97750,NA,NA,5/26/21
97751,NA,NA,5/26/21
97752,NA,NA,5/26/21
97758,NA,NA,5/26/21
97810,NA,NA,5/26/21
97812,NA,NA,5/26/21
97817,NA,NA,5/26/21
97819,NA,NA,5/26/21
97823,NA,NA,5/26/21
97825,NA,NA,5/26/21
97830,NA,NA,5/26/21
97833,NA,NA,5/26/21
97834,NA,NA,5/26/21
97835,NA,NA,5/26/21
97837,NA,NA,5/26/21
97839,NA,NA,5/26/21
97840,NA,NA,5/26/21
97841,NA,NA,5/26/21
97842,NA,NA,5/26/21
97843,NA,NA,5/26/21
97848,NA,NA,5/26/21
97856,NA,NA,5/26/21
97857,NA,NA,5/26/21
97859,NA,NA,5/26/21
97864,NA,NA,5/26/21
97867,NA,NA,5/26/21
97870,NA,NA,5/26/21
97873,NA,NA,5/26/21
97874,NA,NA,5/26/21
97876,NA,NA,5/26/21
97877,NA,NA,5/26/21
97880,NA,NA,5/26/21
97884,NA,NA,5/26/21
97901,NA,NA,5/26/21
97903,NA,NA,5/26/21
97904,NA,NA,5/26/21
97905,NA,NA,5/26/21
97906,NA,NA,5/26/21
97907,NA,NA,5/26/21
97908,NA,NA,5/26/21
97909,NA,NA,5/26/21
97910,NA,NA,5/26/21
97911,NA,NA,5/26/21
97920,NA,NA,5/26/21
99362,NA,NA,5/26/21
97827,100,3805.2,5/26/21
97403,1000,8604.4,5/26/21
97219,1009,2606.6,5/26/21
97404,1022,3168.5,5/26/21
97216,1050,6733.4,5/26/21
97209,1059,7083.6,5/26/21
97632,107,7298.8,5/26/21
97754,1087,5852.3,5/26/21
97132,1096,3875.8,5/26/21
97055,1098,6328.5,5/26/21
97376,11,845.5,5/26/21
97850,1106,6523.1,5/26/21
97703,1114,3356.8,5/26/21
97321,1149,4609.3,5/26/21
97462,115,2920.3,5/26/21
97458,115,2429.7,5/26/21
97327,116,4040.4,5/26/21
97231,116,2710.3,5/26/21
97042,117,4002.7,5/26/21
97741,1177,9880.8,5/26/21
97539,119,3574.6,5/26/21
97391,119,2226.8,5/26/21
97738,120,6182.4,5/26/21
97224,1203,3865.4,5/26/21
97041,121,4295.3,5/26/21
97008,1229,4242.5,5/26/21
97211,1239,3964.3,5/26/21
97058,1242,6260.7,5/26/21
97078,1252,5842,5/26/21
97217,1255,3992,5/26/21
97003,1257,4856.3,5/26/21
97148,127,3728.7,5/26/21
97113,1288,9099.3,5/26/21
97017,129,4414.8,5/26/21
97355,1303,4553.9,5/26/21
97070,1306,6231.8,5/26/21
97019,133,4207.5,5/26/21
97423,134,1968,5/26/21
97015,1353,6931,5/26/21
97267,1361,4413.2,5/26/21
97111,137,4340.9,5/26/21
97115,137,3310,5/26/21
97527,1410,4182.4,5/26/21
97060,1424,6708.8,5/26/21
97013,1449,6386.6,5/26/21
97467,145,2715.9,5/26/21
97444,147,2837.3,5/26/21
97062,1477,5383.8,5/26/21
97106,148,3252.7,5/26/21
97526,1490,4356.1,5/26/21
97304,1500,5271.7,5/26/21
97601,1503,6692.2,5/26/21
97306,1536,5614,5/26/21
97478,1537,4152.8,5/26/21
97222,1543,4411.2,5/26/21
97385,155,4759,5/26/21
97004,155,3532.4,5/26/21
97502,1554,5611.3,5/26/21
97331,156,6478.4,5/26/21
97330,1567,3778.5,5/26/21
97523,157,2506.4,5/26/21
97133,158,3950,5/26/21
97005,1583,6355.9,5/26/21
97116,1591,6600.6,5/26/21
97203,1593,5131.8,5/26/21
97882,1598,20592.8,5/26/21
97477,1599,4336.4,5/26/21
97101,162,4269.9,5/26/21
